Long,Lat,4.6,4.7,4.8,4.9,5.0,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6.0,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7.0,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8.0,8.1
5.15,46.65,6.227743484217079e-08,4.946872490219087e-08,3.9294405205355e-08,3.121265523614779e-08,2.4793093275682423e-08,1.96938541893427e-08,1.5643384363817224e-08,1.2425981638177758e-08,9.870308083637253e-09,7.840264325510984e-09,6.2277434842170785e-09,4.9468724902190875e-09,3.9294405205355e-09,3.1212655236147787e-09,2.479309327568242e-09,1.9693854189342707e-09,1.5643384363817222e-09,1.242598163817776e-09,9.870308083637254e-10,7.840264325510984e-10,6.227743484217079e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.2,46.65,1.0258189758384985e-07,8.14836991159669e-08,6.472480328765069e-08,5.141273825355072e-08,4.083858969811425e-08,3.2439244648403875e-08,2.5767408375187265e-08,2.0467780058400587e-08,1.625813552246265e-08,1.2914296218974452e-08,1.0258189758384986e-08,8.148369911596688e-09,6.472480328765069e-09,5.141273825355072e-09,4.083858969811425e-09,3.2439244648403873e-09,2.5767408375187265e-09,2.0467780058400593e-09,1.6258135522462647e-09,1.2914296218974451e-09,1.0258189758384987e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.25,46.65,1.6581675706823446e-07,1.3171293616132104e-07,1.046232991789057e-07,8.31052399920445e-08,6.601283790329908e-08,5.243586291093234e-08,4.1651286641805624e-08,3.308479318992605e-08,2.6280185304561384e-08,2.0875092970075438e-08,1.6581675706823443e-08,1.3171293616132103e-08,1.046232991789057e-08,8.310523999204449e-09,6.601283790329907e-09,5.243586291093234e-09,4.1651286641805624e-09,3.3084793189926044e-09,2.6280185304561385e-09,2.0875092970075436e-09,1.6581675706823444e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.3,46.65,2.62577699424275e-07,2.085728792707564e-07,1.6567532567667273e-07,1.3160059227500665e-07,1.0453406623840505e-07,8.30343581158623e-08,6.595653835733372e-08,5.239113842342114e-08,4.1615760239508125e-08,3.305657338377423e-08,2.6257769942427504e-08,2.0857287927075637e-08,1.6567532567667273e-08,1.3160059227500664e-08,1.0453406623840505e-08,8.303435811586231e-09,6.595653835733372e-09,5.239113842342115e-09,4.161576023950814e-09,3.3056573383774233e-09,2.6257769942427504e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.35,46.65,4.0664199391455595e-07,3.2300721413865446e-07,2.5657374989952815e-07,2.0380377476320315e-07,1.6188709505296404e-07,1.2859148659291177e-07,1.021438519809545e-07,8.113574703065051e-08,6.44484096701505e-08,5.119319376434314e-08,4.066419939145559e-08,3.2300721413865446e-08,2.5657374989952816e-08,2.0380377476320315e-08,1.6188709505296403e-08,1.2859148659291177e-08,1.021438519809545e-08,8.11357470306505e-09,6.4448409670150495e-09,5.119319376434314e-09,4.0664199391455595e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.4,46.65,6.118932711935279e-07,4.86044099518402e-07,3.860785521081289e-07,3.066730932211844e-07,2.4359909636528866e-07,1.9349764017852974e-07,1.537006389673879e-07,1.2208875846359722e-07,9.697854965656976e-08,7.703280040189171e-08,6.118932711935279e-08,4.860440995184021e-08,3.860785521081289e-08,3.0667309322118446e-08,2.4359909636528864e-08,1.9349764017852975e-08,1.537006389673879e-08,1.2208875846359722e-08,9.697854965656977e-09,7.703280040189172e-09,6.118932711935279e-09,4.8604409951840214e-09,3.8607855210812894e-09,3.066730932211844e-09,2.4359909636528868e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.45,46.65,9.018533818572783e-07,7.163676252527261e-07,5.690310190646985e-07,4.5199740312444637e-07,3.5903430018032007e-07,2.851910833113835e-07,2.2653533072070128e-07,1.799434087545895e-07,1.4293413125589741e-07,1.1353661646987692e-07,9.018533818572785e-08,7.16367625252726e-08,5.6903101906469864e-08,4.519974031244464e-08,3.5903430018032e-08,2.8519108331138346e-08,2.2653533072070125e-08,1.799434087545895e-08,1.4293413125589739e-08,1.135366164698769e-08,9.018533818572785e-09,7.163676252527261e-09,5.6903101906469865e-09,4.519974031244464e-09,3.5903430018032e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,46.65,1.2938164472617112e-06,1.0277149161672602e-06,8.163430010467351e-07,6.484442943655201e-07,5.150776080053348e-07,4.091406883639899e-07,3.2499200163198526e-07,2.581503211720026e-07,2.0505609246259394e-07,1.6288183906530543e-07,1.2938164472617116e-07,1.0277149161672605e-07,8.163430010467352e-08,6.4844429436552e-08,5.150776080053347e-08,4.091406883639899e-08,3.249920016319853e-08,2.5815032117200257e-08,2.0505609246259397e-08,1.6288183906530542e-08,1.2938164472617115e-08,1.0277149161672604e-08,8.163430010467352e-09,6.4844429436552006e-09,5.150776080053347e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.55,46.65,1.905605440253404e-06,1.5136762044306706e-06,1.2023557397809224e-06,9.550651179154713e-07,7.586351948803765e-07,6.026053298628266e-07,4.786664493811205e-07,3.8021827147534735e-07,3.020181131042456e-07,2.3990151121549196e-07,1.905605440253404e-07,1.5136762044306703e-07,1.2023557397809224e-07,9.550651179154712e-08,7.586351948803766e-08,6.026053298628266e-08,4.7866644938112044e-08,3.802182714753473e-08,3.0201811310424556e-08,2.3990151121549195e-08,1.9056054402534038e-08,1.5136762044306704e-08,1.2023557397809226e-08,9.550651179154713e-09,7.586351948803766e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
