TFA,Cut SRLGs,Cost H1,Cost H2,Cost ILP,Runtime H1,Runtime H2,Runtime ILP
0.0100,47,0.0000,0.0000,,0.0466,0.0289,
0.0090,47,0.0000,0.0000,,0.0276,0.0267,
0.0080,47,0.0000,0.0000,,0.0266,0.0262,
0.0070,47,0.0000,0.0000,,0.0270,0.0262,
0.0060,47,0.0000,0.0000,,0.0274,0.0294,
0.0050,47,0.0000,0.0000,,0.0312,0.0280,
0.0040,47,0.0000,0.0000,,0.0259,0.0266,
0.0030,47,0.0000,0.0000,,0.0267,0.0266,
0.0020,47,0.0000,0.0000,,0.0267,0.0267,
0.0010,47,1089.9549,989.7451,989.7451,0.1548,3.5352,189.5939
0.0009,47,2726.9071,1303.3771,1303.3771,0.2724,3.5430,145.8429
0.0008,47,2726.9071,1848.3545,1469.1543,0.2610,4.6437,146.4792
0.0007,47,2726.9071,1722.8669,1634.9324,0.2663,3.6016,135.7795
0.0006,47,3818.8819,2267.8443,2102.0667,0.3343,4.4466,138.4698
0.0005,47,3818.8819,2831.5751,2743.6406,0.3200,4.5357,177.5459
