TFA,Cut SRLGs,Cost H1,Cost H2,Cost ILP,Runtime H1,Runtime H2,Runtime ILP
0.0100,85,0.0000,0.0000,0.0000,0.0546,0.0422,0.0500
0.0090,85,0.0000,0.0000,0.0000,0.0422,0.0432,0.0500
0.0080,85,0.0000,0.0000,0.0000,0.0424,0.0422,0.0500
0.0070,85,0.0000,0.0000,0.0000,0.0483,0.0454,0.0500
0.0060,85,0.0000,0.0000,0.0000,0.0419,0.0421,0.0500
0.0050,85,456.3060,89.2682,89.2682,0.2529,1.6943,2809.0820
0.0040,85,718.7006,442.7404,351.6627,0.3534,9.2523,2803.8901
0.0030,85,1081.6668,629.9881,587.0105,0.5364,9.1281,2788.8995
0.0020,85,2113.6876,1139.8830,1132.4224,1.0282,16.3717,2777.6911
0.0010,85,3737.2885,2314.9632,2278.0277,1.7232,26.1417,3679.8904
0.0009,85,3882.5465,2494.9104,,1.7789,27.7278,
0.0008,85,4905.2854,2679.3667,,2.0395,28.7464,
0.0007,85,4990.5900,2864.0983,,2.1217,29.1496,
0.0006,85,5549.7746,3145.0369,,2.2279,32.2015,
0.0005,85,6504.7686,3572.9873,,2.6309,36.9831,
