TFA,Cut SRLGs,Cost H1,Cost H2,Cost ILP,Runtime H1,Runtime H2,Runtime ILP
0.0100,47,0.0000,0.0000,0.0000,0.0347,0.0310,0.03
0.0090,47,0.0000,0.0000,0.0000,0.0349,0.0326,0.03
0.0080,47,0.0000,0.0000,0.0000,0.0309,0.0300,0.03
0.0070,47,0.0000,0.0000,0.0000,0.0308,0.0316,0.03
0.0060,47,0.0000,0.0000,0.0000,0.0382,0.0285,0.03
0.0050,47,0.0000,0.0000,0.0000,0.0418,0.0281,0.03
0.0040,47,0.0000,0.0000,0.0000,0.0271,0.0253,0.03
0.0030,47,544.9775,379.1998,379.1998,0.0846,1.2222,1706.5772
0.0020,47,1089.9549,758.3996,758.3996,0.1471,2.4225,1739.6926
0.0010,47,3653.1042,2962.2507,2559.1097,0.3295,6.7751,1704.7387
0.0009,47,3653.1042,3445.5971,2771.6298,0.4394,8.1843,1737.2190
0.0008,47,4032.3040,3376.5525,3122.8404,0.3992,6.5083,1689.3533
0.0007,47,4032.3040,3921.5300,3502.0402,0.5006,7.3492,1706.2754
0.0006,47,5124.2788,4466.5075,3667.8179,0.4646,7.4977,1841.4908
0.0005,47,5124.2788,4931.1006,4047.0177,0.4434,9.3590,1960.9690
