Links,Link Lengths,H0,Delta H (Heuristic 1),Delta H (Heuristic 2),Delta H (ILP),H (Heuristic 1),H (Heuristic 2),H (ILP)
0,530.9868,6,0,0,0,6,6,6
1,343.4757,6,0,0,0,6,6,6
2,493.8822,6,0,0,0,6,6,6
3,955.6298,6,0,0,0,6,6,6
4,1056.9316,6,0,0,0,6,6,6
5,678.7598,6,0,0,0,6,6,6
6,364.9653,6,0,0,0,6,6,6
7,343.1490,6,0,0,0,6,6,6
8,231.3455,6,0,0,0,6,6,6
9,298.6322,6,0,0,0,6,6,6
10,514.9742,6,0,0,0,6,6,6
11,529.9967,6,0,0,0,6,6,6
12,233.2476,6,0,0,0,6,6,6
13,665.3851,6,0,0,0,6,6,6
14,149.4289,6,0,1,0,6,7,6
15,440.5087,6,0,0,0,6,6,6
16,393.4653,6,0,0,0,6,6,6
17,1001.4826,6,0,0,0,6,6,6
18,367.9512,6,0,0,0,6,6,6
19,415.4692,6,0,0,0,6,6,6
20,381.8780,6,0,0,0,6,6,6
21,564.9719,6,0,0,0,6,6,6
22,405.9377,6,0,0,0,6,6,6
23,293.0082,6,0,0,0,6,6,6
24,560.2507,6,0,0,0,6,6,6
25,873.4345,6,0,0,0,6,6,6
26,1050.3401,6,0,0,0,6,6,6
27,614.4962,6,0,0,0,6,6,6
28,648.1851,6,0,0,0,6,6,6
29,361.5582,6,0,0,0,6,6,6
30,381.7139,6,0,0,0,6,6,6
31,349.7213,6,0,0,0,6,6,6
32,1075.3731,6,0,0,0,6,6,6
33,906.3959,6,0,0,0,6,6,6
34,938.9514,6,0,0,0,6,6,6
35,1146.9797,6,0,0,0,6,6,6
36,591.7199,6,0,1,0,6,7,6
37,964.4673,6,0,0,0,6,6,6
38,1108.7082,6,1,0,0,7,6,6
39,379.1998,6,2,3,3,8,9,9
40,544.9775,6,2,2,1,8,8,7
41,1091.9747,6,2,1,2,8,7,8
